region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Domain IV,FENICS:0053,Acceleration of recovery from fast inactivation,5e-4,4.27,1.78,10.37
Domain IV,FENICS:0071,Effect on slope of fast inactivation,6e-4,3.84,1.7,8.7
Domain C,FENICS:0060,Depolarizing shift of voltage dependence of fast inactivation,0.0028,3.63,1.46,8.93
Domain II,FENICS:0083,Absence of peak current,0.003,3.53,1.44,8.45
Domain III-IV,FENICS:0060,Depolarizing shift of voltage dependence of fast inactivation,0.0032,4.72,1.51,15.09
Domain III-IV,FENICS:0053,Acceleration of recovery from fast inactivation,0.0036,5.29,1.55,17.23
Domain IV,FENICS:0073,Increase in slope of fast inactivation,0.0039,3.5,1.38,8.9
Domain II,FENICS:0082,Effect on peak current,0.0047,2.8,1.3,6.23
Domain III-IV,FENICS:0140,Overall gain-of-function effect with respect to biophysical channel activity,0.0067,4.27,1.33,13.51
Domain II-III,FENICS:0109,Slowing of recovery from slow inactivation,0.0092,10.7,1.5,61.08
Domain C,FENICS:0048,Slowing of fast inactivation,0.0146,3.1,1.16,7.94
Domain II-III,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.0153,5.68,1.16,30.06
Domain IV,FENICS:0038,Effect on persistent current,0.0159,2.24,1.11,4.49
Domain II,FENICS:0141,Overall loss-of-function,0.0162,2.37,1.11,5.09
Domain IV,FENICS:0058,Effect on voltage dependence of fast inactivation,0.0185,2.15,1.11,4.25
Domain IV,FENICS:0133,Decrease of decay in current amplitude in use dependence,0.019,4.76,1.08,23.91
Domain I-II,FENICS:0035,Increase in slope of activation,0.0216,7.81,1.06,50.24
Domain I,FENICS:0083,Absence of peak current,0.0218,3.07,1.1,8.12
Domain II,FENICS:0004,Component leading to Loss-of-Function (LoF),0.0281,2.51,1.05,6.68
Domain III,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.0284,2.81,1,7.43
Domain IV,FENICS:0040,Increase in persistent current,0.0347,2.06,1.01,4.18
Domain C,FENICS:0003,Component leading to Gain-of-Function (GoF),0.0357,2.99,1.05,10.5
Domain C,FENICS:0037,Effect on fast inactivation,0.0367,2.86,1.01,10.04
Domain III,FENICS:0117,Hyperpolarizing shift of voltage dependence of slow inactivation,0.0389,15.36,0.77,927.36
Domain III,FENICS:0115,Effect on shift of voltage dependence of slow inactivation,0.0392,5.98,0.82,37.81
Domain II-III,FENICS:0106,Effect on rate of recovery from slow inactivation,0.0399,5.51,0.82,28.72
Domain II-III,FENICS:0145,Overall mixed or unclear functional effect not able to be clearly categorized as Gain- or Loss-of-Function,0.0453,4,0.83,20.97
Domain III-IV,FENICS:0052,Effect on rate of recovery from fast inactivation,0.0472,3,0.97,9.45
Domain III-IV,FENICS:0103,Acceleration of entry into slow inactivation,0.0508,8.52,0.66,80.6
Domain C,FENICS:0045,Effect on rate of fast inactivation,0.0515,2.47,0.96,6.08
Domain C,FENICS:0099,Increase in resurgent current,0.0527,5.21,0.72,32.77
Domain III-IV,FENICS:0106,Effect on rate of recovery from slow inactivation,0.0579,3.49,0.74,13.18
Domain IV,FENICS:0121,Increase in slope of slow inactivation,0.0716,4.1,0.67,28.92
Domain III-IV,FENICS:0101,Effect on slow inactivation,0.0764,2.76,0.7,9.29
Domain C,FENICS:0097,Effect on resurgent current,0.0767,4.16,0.61,22.86
Domain II,FENICS:0055,Slowing of recovery from fast inactivation,0.0851,2.21,0.85,5.44
Domain III,FENICS:0055,Slowing of recovery from fast inactivation,0.0866,2.31,0.75,6.49
Domain C,FENICS:0128,Effect on ramp current,0.1047,3.45,0.53,17.38
Domain IV,FENICS:0103,Acceleration of entry into slow inactivation,0.106,4.55,0.51,55.78
Domain III,FENICS:0134,Increase of decay in current amplitude in use dependence,0.111,5.13,0.41,47.14
Domain III,FENICS:0144,Overall loss-of-function effect with respect to biophysical channel activity,0.1185,2.28,0.68,6.76
Domain III,FENICS:0016,Effect on rate of deactivation,0.1204,22.41,0,Inf
Domain IV,FENICS:0052,Effect on rate of recovery from fast inactivation,0.1212,1.75,0.86,3.5
Domain II-III,FENICS:0101,Effect on slow inactivation,0.1231,3.17,0.49,15.9
Domain III-IV,FENICS:0107,Acceleration of recovery from slow inactivation,0.1233,4.24,0.39,26.55
Domain IV,FENICS:0119,Effect on slope of slow inactivation,0.1279,3.1,0.68,14.07
Domain II,FENICS:0007,Effect on ion channel biophysical properties,0.129,6.16,0,Inf
Domain N,FENICS:0123,Effect on subthreshold current,0.1325,9.99,0.17,130.8
Domain IV,FENICS:0060,Depolarizing shift of voltage dependence of fast inactivation,0.1339,1.72,0.79,3.64
Domain I-II,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.1353,3.25,0.46,20.04
Domain II-III,FENICS:0132,Effect on use dependence,0.1365,3.9,0.36,23.27
Domain III,FENICS:0059,Effect on shift of voltage dependence of fast inactivation,0.1374,1.91,0.77,4.79
Domain II-III,FENICS:0003,Component leading to Gain-of-Function (GoF),0.1628,4.62,0.6,208.42
Domain III-IV,FENICS:0040,Increase in persistent current,0.1664,2.02,0.62,6.25
Domain II,FENICS:0097,Effect on resurgent current,0.1679,2.76,0.41,14.89
Domain II-III,FENICS:0020,Effect on voltage dependence of activation,0.1746,2.8,0.58,17.78
Domain I,FENICS:0123,Effect on subthreshold current,0.1749,3.51,0.3,25.9
Domain III-IV,FENICS:0102,Effect on entry into slow inactivation,0.1805,3.16,0.3,17.95
Domain IV,FENICS:0045,Effect on rate of fast inactivation,0.1884,1.65,0.76,3.49
Domain II-III,FENICS:0134,Increase of decay in current amplitude in use dependence,0.1933,6.22,0.11,73.62
Domain III,FENICS:0004,Component leading to Loss-of-Function (LoF),0.1946,1.94,0.71,6.19
Domain IV,FENICS:0059,Effect on shift of voltage dependence of fast inactivation,0.2048,1.51,0.77,2.93
Domain IV,FENICS:0001,Effect on ion channel function,0.2072,6.15,0,Inf
Domain IV,FENICS:0022,Depolarizing shift of voltage dependence of activation,0.2116,1.9,0.68,5
Domain III,FENICS:0058,Effect on voltage dependence of fast inactivation,0.2138,1.72,0.69,4.37
Domain IV,FENICS:0114,Effect on voltage dependence of slow inactivation,0.2184,2.06,0.57,6.86
Domain III-IV,FENICS:0120,Decrease in slope of slow inactivation,0.219,6.05,0.1,122.31
Domain C,FENICS:0059,Effect on shift of voltage dependence of fast inactivation,0.2207,1.75,0.74,4.16
Domain II,FENICS:0002,Assessment of single biophysical property on ion channel function,0.2234,5.63,0,Inf
Domain II,FENICS:0105,Slowing of entry into slow inactivation,0.2315,3.01,0.24,27.28
Domain N,FENICS:0046,Acceleration of fast inactivation,0.2319,4.95,0.09,56.72
Domain III,FENICS:0027,Hyperpolarizing shift of voltage dependence of activation,0.239,1.79,0.68,4.54
Domain III-IV,FENICS:0109,Slowing of recovery from slow inactivation,0.2412,2.5,0.25,13.46
Domain I,FENICS:0012,Slowing of activation,0.243,6.82,0.09,543.82
Domain IV,FENICS:0132,Effect on use dependence,0.2464,1.84,0.52,5.94
