#DatabaseID,DiseaseName,HPO_ID
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0011097
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0002187
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0001518
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0032792
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0011451
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0010851
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0001789
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0200134
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0001522
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0000006
OMIM:619340,Developmental and epileptic encephalopathy 96,HP:0002643
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0002378
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0003324
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0002153
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0003394
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0001878
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0003768
OMIM:609153,"Pseudohyperkalemia, familial, 2, due to red cell leak",HP:0000006
OMIM:224550,Dystonia with ringbinden,HP:0003621
OMIM:224550,Dystonia with ringbinden,HP:0000750
OMIM:224550,Dystonia with ringbinden,HP:0001288
OMIM:224550,Dystonia with ringbinden,HP:0001332
OMIM:224550,Dystonia with ringbinden,HP:0011463
OMIM:224550,Dystonia with ringbinden,HP:0002072
OMIM:224550,Dystonia with ringbinden,HP:0000007
OMIM:224550,Dystonia with ringbinden,HP:0003307
OMIM:224550,Dystonia with ringbinden,HP:0001347
OMIM:253900,"Muscular dystrophy, congenital, producing arthrogryposis",HP:0003741
OMIM:253900,"Muscular dystrophy, congenital, producing arthrogryposis",HP:0003198
OMIM:253900,"Muscular dystrophy, congenital, producing arthrogryposis",HP:0001939
OMIM:253900,"Muscular dystrophy, congenital, producing arthrogryposis",HP:0000007
OMIM:253900,"Muscular dystrophy, congenital, producing arthrogryposis",HP:0002804
OMIM:614102,Immunoglobulin kappa light chain deficiency,HP:0002014
OMIM:614102,Immunoglobulin kappa light chain deficiency,HP:0002719
OMIM:614102,Immunoglobulin kappa light chain deficiency,HP:0000007
OMIM:614102,Immunoglobulin kappa light chain deficiency,HP:0010701
OMIM:619426,White-Kernohan syndrome,HP:0000286
OMIM:619426,White-Kernohan syndrome,HP:0010804
OMIM:619426,White-Kernohan syndrome,HP:0006989
OMIM:619426,White-Kernohan syndrome,HP:0001252
OMIM:619426,White-Kernohan syndrome,HP:0003196
OMIM:619426,White-Kernohan syndrome,HP:0003593
OMIM:619426,White-Kernohan syndrome,HP:0000085
OMIM:619426,White-Kernohan syndrome,HP:0002020
OMIM:619426,White-Kernohan syndrome,HP:0012745
OMIM:619426,White-Kernohan syndrome,HP:0000639
OMIM:619426,White-Kernohan syndrome,HP:0011463
OMIM:619426,White-Kernohan syndrome,HP:0020045
OMIM:619426,White-Kernohan syndrome,HP:0000637
OMIM:619426,White-Kernohan syndrome,HP:0000278
OMIM:619426,White-Kernohan syndrome,HP:0001249
OMIM:619426,White-Kernohan syndrome,HP:0020206
OMIM:619426,White-Kernohan syndrome,HP:0001385
OMIM:619426,White-Kernohan syndrome,HP:0000574
OMIM:619426,White-Kernohan syndrome,HP:0001388
OMIM:619426,White-Kernohan syndrome,HP:0002870
OMIM:619426,White-Kernohan syndrome,HP:0000293
OMIM:619426,White-Kernohan syndrome,HP:0011800
OMIM:619426,White-Kernohan syndrome,HP:0011330
OMIM:619426,White-Kernohan syndrome,HP:0000601
OMIM:619426,White-Kernohan syndrome,HP:0000403
OMIM:619426,White-Kernohan syndrome,HP:0000527
OMIM:619426,White-Kernohan syndrome,HP:0000400
OMIM:619426,White-Kernohan syndrome,HP:0000006
OMIM:619426,White-Kernohan syndrome,HP:0000369
OMIM:619426,White-Kernohan syndrome,HP:0000126
