model_family,feature_set,input_dim,test_auc_mean,test_auc_std,test_f1_0_5_mean,test_f1_0_5_std,test_f1_optimized_mean,test_f1_optimized_std,test_accuracy_0_5_mean,test_accuracy_0_5_std,test_recall_0_5_mean,test_recall_0_5_std,test_precision_0_5_mean,test_precision_0_5_std
custom_nn,wt_plus_mut_plus_biochem,704,0.8414525800710179,0.014368350512787922,0.7076423451804199,0.018658344182613213,0.707139450364402,0.01976819724617364,0.7591101045047616,0.025495115953445713,0.7523735797894815,0.03712792826399073,0.670853737931578,0.041825372751123975
custom_nn,wt_plus_mut_site,640,0.8377052466347953,0.019248823910968986,0.703605767906729,0.021029377220256083,0.705397791852896,0.02040550070262833,0.7540104148090024,0.028074052020767126,0.7538394088395481,0.05044059650310177,0.6640562189496517,0.04749147533091236
custom_nn,wt_site_only,320,0.836407788572143,0.01853780263902666,0.6948059954512131,0.02019410109057245,0.7005602932916506,0.019134656818053025,0.7430581017940578,0.019514388673946396,0.7572636310029577,0.051833169807917655,0.6447398482708518,0.032239767555589424
custom_nn,mutant_site_only,320,0.8343825939184578,0.01617889831156955,0.6976310152842062,0.025320782059793007,0.694820437383026,0.02411790684338588,0.7492941470200092,0.02500405121150258,0.7475382940294281,0.040367042404756026,0.65594712533283,0.03794064418195951
custom_nn,biochem_only,64,0.6663488974392177,0.02097507081058316,0.5420202299312532,0.03163126388762625,0.5750889464660617,0.015562028794249002,0.6303566715411777,0.016962254920410345,0.5694376500304124,0.06665743791610539,0.5220009789171817,0.02472734324261166
logistic_regression,wt_site_only,320,0.7816350251481154,0.023186626408217507,0.6427519286864503,0.03876720759042613,0.6636377970683127,0.030289750273871208,0.7160655562292685,0.027359983711664225,0.6630833252078951,0.06454127873566742,0.6267228743614838,0.03858237212777902
logistic_regression,mutant_site_only,320,0.7805126174568964,0.019204695689756593,0.6435165204632217,0.02751424622397199,0.6478393360930197,0.03188839013336828,0.7202214930270714,0.016902419708859678,0.655285574329187,0.054523349900562075,0.6348580278794741,0.025768177440030512
logistic_regression,wt_plus_mut_plus_biochem,704,0.7793678386227257,0.014479228551811966,0.6344554801087108,0.02298027907627202,0.6505732812680879,0.026703882244807683,0.7188957449085137,0.015246448909664425,0.6323561913517479,0.046169864493105464,0.6391302923827188,0.02793826869454245
logistic_regression,wt_plus_mut_site,640,0.770105848355076,0.0145883375137816,0.6279268774698108,0.019858733884328093,0.647347729044189,0.016113760694149628,0.7153033491457716,0.015879818871936457,0.6220477961490066,0.03813813994119081,0.6361441513047292,0.029347124226820794
logistic_regression,biochem_only,64,0.6625865143223398,0.019559454919558857,0.540478469557528,0.013184693933427612,0.5693930164005294,0.012865129515019712,0.6263944073902343,0.02041030024588166,0.5678721334614831,0.019234700010483843,0.5166324285512169,0.024604116914731418
