model_family,metric,comparison,feature_a,feature_b,feature_a_mean,feature_b_mean,mean_difference_b_minus_a,std_difference,paired_t_p_value,wilcoxon_p_value,n_pairs
logistic_regression,test_auc,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.7816350251481154,0.7701058483550759,-0.011529176793039497,0.0188402201303186,0.08496927794259473,0.083984375,10
logistic_regression,test_f1_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.6427519286864503,0.6279268774698108,-0.014825051216639495,0.03513266519046213,0.21484925740399097,0.275390625,10
logistic_regression,test_f1_optimized,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.6636377970683127,0.6473477290441891,-0.016290068024123704,0.03016889670905747,0.12190700355353104,0.10546875,10
logistic_regression,test_recall_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.663083325207895,0.6220477961490066,-0.04103552905888852,0.05257665544622007,0.03567988316845342,0.041015625,10
logistic_regression,test_accuracy_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.7160655562292684,0.7153033491457716,-0.000762207083496802,0.025026922091622914,0.9253858657212579,0.91015625,10
logistic_regression,test_auc,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.7805126174568964,0.7701058483550759,-0.010406769101820468,0.014710854830751536,0.05209261785053433,0.02734375,10
logistic_regression,test_f1_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.6435165204632216,0.6279268774698108,-0.015589642993410969,0.031861937809383074,0.15620481150445087,0.16015625,10
logistic_regression,test_f1_optimized,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.6478393360930197,0.6473477290441891,-0.0004916070488307,0.029388197061653756,0.9589681623021943,0.625,10
logistic_regression,test_recall_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.655285574329187,0.6220477961490066,-0.033237778180180436,0.04344532245041179,0.03865525111467422,0.037109375,10
logistic_regression,test_accuracy_0_5,wt_plus_mut_site minus mutant_site_only,mutant_site_only,wt_plus_mut_site,0.7202214930270714,0.7153033491457716,-0.004918143881299708,0.022096516967527763,0.4993327508442845,0.4921875,10
logistic_regression,test_auc,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.7701058483550759,0.7793678386227257,0.009261990267649744,0.006971790495233816,0.002303038650300362,0.00390625,10
logistic_regression,test_f1_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.6279268774698108,0.6344554801087108,0.0065286026389001165,0.014645026964294679,0.192232034522918,0.275390625,10
logistic_regression,test_f1_optimized,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.6473477290441891,0.6505732812680879,0.00322555222389892,0.019890334548354593,0.620428419714185,0.4921875,10
logistic_regression,test_recall_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.6220477961490066,0.6323561913517478,0.010308395202741294,0.025617956769468382,0.2350967141459398,0.232421875,10
logistic_regression,test_accuracy_0_5,wt_plus_mut_plus_biochem minus wt_plus_mut_site,wt_plus_mut_site,wt_plus_mut_plus_biochem,0.7153033491457716,0.7188957449085136,0.0035923957627420843,0.009314935985118317,0.25362564491660594,0.166015625,10
logistic_regression,test_auc,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.6625865143223397,0.7793678386227257,0.11678132430038582,0.021106914082151,2.943351014258414e-08,0.001953125,10
logistic_regression,test_f1_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.5404784695575279,0.6344554801087108,0.09397701055118296,0.024634419950122447,7.360433823094462e-07,0.001953125,10
logistic_regression,test_f1_optimized,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.5693930164005294,0.6505732812680879,0.08118026486755853,0.030667936343274832,1.5385228428902312e-05,0.001953125,10
logistic_regression,test_recall_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.567872133461483,0.6323561913517478,0.06448405789026482,0.04583042152191607,0.0016016540974956913,0.00390625,10
logistic_regression,test_accuracy_0_5,wt_plus_mut_plus_biochem minus biochem_only,biochem_only,wt_plus_mut_plus_biochem,0.6263944073902342,0.7188957449085136,0.09250133751827941,0.02421150216608996,7.267559790595774e-07,0.001953125,10
custom_nn,test_auc,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.8364077885721428,0.8377052466347955,0.0012974580626524234,0.020303963256583707,0.8443519975820188,0.76953125,10
custom_nn,test_f1_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.6948059954512132,0.7036057679067289,0.008799772455515841,0.026283535931811708,0.31730694168376405,0.375,10
custom_nn,test_f1_optimized,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.7005602932916506,0.705397791852896,0.004837498561245346,0.022341192467811306,0.5107659063766773,0.556640625,10
custom_nn,test_recall_0_5,wt_plus_mut_site minus wt_site_only,wt_site_only,wt_plus_mut_site,0.7572636310029577,0.7538394088395481,-0.003424222163409529,0.0492348505637386,0.8308312909105786,1.0,10
