seed,model_family,feature_set,input_dim,best_validation_threshold,test_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_accuracy_optimized,test_precision_optimized,test_recall_optimized,test_f1_optimized,best_epoch,best_validation_auc
0,logistic_regression,wt_site_only,320,0.08499999999999999,0.7731932457786117,0.7396226415094339,0.6543778801843319,0.6926829268292682,0.6729857819905213,0.7075471698113207,0.5856164383561644,0.8341463414634146,0.6881287726358148,,
0,logistic_regression,mutant_site_only,320,0.3449999999999999,0.7492082551594746,0.6886792452830188,0.6020408163265306,0.5756097560975609,0.5885286783042394,0.6962264150943396,0.5990990990990991,0.6487804878048781,0.6229508196721312,,
0,logistic_regression,wt_plus_mut_site,640,0.06,0.7526454033771108,0.7226415094339622,0.6435643564356436,0.6341463414634146,0.6388206388206388,0.6830188679245283,0.5658362989323843,0.775609756097561,0.654320987654321,,
0,logistic_regression,biochem_only,64,0.25499999999999995,0.6647279549718575,0.6150943396226415,0.5020746887966805,0.5902439024390244,0.5426008968609866,0.44528301886792454,0.407098121085595,0.9512195121951219,0.5701754385964912,,
0,logistic_regression,wt_plus_mut_plus_biochem,704,0.14999999999999997,0.7689155722326454,0.7245283018867924,0.6411483253588517,0.6536585365853659,0.6473429951690821,0.7018867924528301,0.5907335907335908,0.7463414634146341,0.6594827586206896,,
0,custom_nn,wt_site_only,320,0.135,0.8151894934333959,0.7377358490566037,0.6460176991150443,0.7121951219512195,0.6774941995359629,0.6528301886792452,0.5294117647058824,0.9219512195121952,0.6725978647686833,4.0,0.8339000938086304
0,custom_nn,mutant_site_only,320,0.41999999999999993,0.8125028142589118,0.730188679245283,0.6409090909090909,0.6878048780487804,0.6635294117647059,0.7226415094339622,0.616,0.751219512195122,0.676923076923077,4.0,0.8413227016885554
0,custom_nn,wt_plus_mut_site,640,0.21999999999999997,0.8232195121951219,0.7396226415094339,0.6515837104072398,0.7024390243902439,0.676056338028169,0.7433962264150943,0.6342412451361867,0.7951219512195122,0.7056277056277056,10.0,0.8193949343339588
0,custom_nn,biochem_only,64,0.195,0.6729831144465291,0.6396226415094339,0.5286885245901639,0.6292682926829268,0.5746102449888641,0.4490566037735849,0.40842105263157896,0.9463414634146341,0.5705882352941176,5.0,0.6289516885553471
0,custom_nn,wt_plus_mut_plus_biochem,704,0.16499999999999998,0.8324352720450282,0.7641509433962265,0.6886792452830188,0.7121951219512195,0.7002398081534772,0.7339622641509433,0.6059602649006622,0.8926829268292683,0.7218934911242604,6.0,0.835764540337711
1,logistic_regression,wt_site_only,320,0.195,0.7658898944193062,0.6918714555765595,0.6073298429319371,0.5686274509803921,0.5873417721518988,0.6862003780718336,0.5736434108527132,0.7254901960784313,0.6406926406926406,,
1,logistic_regression,mutant_site_only,320,0.27499999999999997,0.7710030165912518,0.724007561436673,0.6479591836734694,0.6225490196078431,0.635,0.7013232514177694,0.58984375,0.7401960784313726,0.6565217391304348,,
1,logistic_regression,wt_plus_mut_site,640,0.07,0.763868778280543,0.7088846880907372,0.6275510204081632,0.6029411764705882,0.615,0.6691871455576559,0.5494880546075085,0.7892156862745098,0.647887323943662,,
1,logistic_regression,biochem_only,64,0.3999999999999999,0.6556033182503771,0.610586011342155,0.4956896551724138,0.5637254901960784,0.5275229357798165,0.553875236294896,0.4540229885057471,0.7745098039215687,0.572463768115942,,
1,logistic_regression,wt_plus_mut_plus_biochem,704,0.075,0.7734766214177979,0.724007561436673,0.6421568627450981,0.6421568627450981,0.6421568627450981,0.6880907372400756,0.5656565656565656,0.8235294117647058,0.6706586826347305,,
1,custom_nn,wt_site_only,320,0.37999999999999995,0.8164328808446456,0.7315689981096408,0.6409090909090909,0.6911764705882353,0.6650943396226415,0.7126654064272212,0.5962962962962963,0.7892156862745098,0.679324894514768,3.0,0.8471622889305815
1,custom_nn,mutant_site_only,320,0.4049999999999999,0.8117269984917044,0.7315689981096408,0.6383928571428571,0.7009803921568627,0.6682242990654206,0.6994328922495274,0.5806451612903226,0.7941176470588235,0.6708074534161491,1.0,0.8234404315196997
1,custom_nn,wt_plus_mut_site,640,0.4099999999999999,0.8206561085972852,0.7504725897920604,0.6607142857142857,0.7254901960784313,0.6915887850467289,0.7485822306238186,0.6497890295358649,0.7549019607843137,0.6984126984126984,7.0,0.8476899624765478
1,custom_nn,biochem_only,64,0.4049999999999999,0.6535369532428358,0.6162570888468809,0.5021645021645021,0.5686274509803921,0.5333333333333333,0.5198487712665406,0.43556701030927836,0.8284313725490197,0.5709459459459459,2.0,0.6903846153846153
1,custom_nn,wt_plus_mut_plus_biochem,704,0.25999999999999995,0.8337933634992458,0.7580340264650284,0.677570093457944,0.7107843137254902,0.69377990430622,0.7126654064272212,0.5921985815602837,0.8186274509803921,0.6872427983539094,4.0,0.8605417448405253
2,logistic_regression,wt_site_only,320,0.19999999999999996,0.8092532833020638,0.7509433962264151,0.7039106145251397,0.6146341463414634,0.65625,0.7264150943396226,0.6171875,0.7707317073170732,0.6854663774403471,,
2,logistic_regression,mutant_site_only,320,0.3499999999999999,0.7698461538461537,0.7377358490566037,0.6793478260869565,0.6097560975609756,0.6426735218508998,0.6962264150943396,0.594017094017094,0.6780487804878049,0.6332574031890661,,
2,logistic_regression,wt_plus_mut_site,640,0.08,0.7746791744840524,0.7415094339622641,0.6888888888888889,0.6048780487804878,0.6441558441558441,0.6830188679245283,0.5731225296442688,0.7073170731707317,0.6331877729257642,,
2,logistic_regression,biochem_only,64,0.3,0.6907617260787993,0.6396226415094339,0.5309734513274337,0.5853658536585366,0.5568445475638051,0.47358490566037736,0.4206008583690987,0.9560975609756097,0.5842026825633383,,
2,logistic_regression,wt_plus_mut_plus_biochem,704,0.24999999999999994,0.7825741088180111,0.7377358490566037,0.6941176470588235,0.5756097560975609,0.6293333333333333,0.7245283018867924,0.6439024390243903,0.6439024390243903,0.6439024390243903,,
2,custom_nn,wt_site_only,320,0.37499999999999994,0.8391519699812382,0.7509433962264151,0.6763285024154589,0.6829268292682927,0.6796116504854369,0.7150943396226415,0.5912162162162162,0.8536585365853658,0.6986027944111777,1.0,0.8439353988134476
2,custom_nn,mutant_site_only,320,0.49499999999999994,0.8562251407129456,0.7811320754716982,0.7013574660633484,0.7560975609756098,0.7276995305164319,0.7830188679245284,0.7027027027027027,0.7609756097560976,0.7306791569086651,2.0,0.8682432432432432
2,custom_nn,wt_plus_mut_site,640,0.42999999999999994,0.8722851782363978,0.7981132075471699,0.75,0.7170731707317073,0.7331670822942643,0.7830188679245284,0.7008928571428571,0.7658536585365854,0.7319347319347319,2.0,0.871704021094265
2,custom_nn,biochem_only,64,0.31999999999999995,0.6840675422138837,0.6245283018867924,0.5130434782608696,0.5756097560975609,0.542528735632184,0.5113207547169811,0.4369158878504673,0.9121951219512195,0.5908372827804107,17.0,0.6766880120538656
