epoch,train_loss,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,0.6256464663541542,0.5,0.6816037735849056,0.5828571428571429,0.6219512195121951,0.6017699115044248,0.7571294559099437,187,73,62,102
2,0.5488861023255114,0.5,0.6674528301886793,0.558974358974359,0.6646341463414634,0.6072423398328691,0.7511960600375235,174,86,55,109
3,0.5028592865422087,0.5,0.7004716981132075,0.6,0.676829268292683,0.6361031518624641,0.7753986866791744,186,74,53,111
4,0.4877258544822909,0.5,0.6745283018867925,0.5643564356435643,0.6951219512195121,0.6229508196721312,0.7727720450281426,172,88,50,114
5,0.4630979895591736,0.5,0.7216981132075472,0.6306818181818182,0.676829268292683,0.6529411764705882,0.7920497185741089,195,65,53,111
6,0.4270303342139946,0.5,0.7099056603773585,0.621301775147929,0.6402439024390244,0.6306306306306306,0.7674718574108819,196,64,59,105
7,0.4249224364757538,0.5,0.7405660377358491,0.6421052631578947,0.7439024390243902,0.6892655367231638,0.8106472795497186,192,68,42,122
8,0.42354609775093366,0.5,0.7075471698113207,0.6086956521739131,0.6829268292682927,0.6436781609195402,0.7853893058161351,188,72,52,112
9,0.3893493231175081,0.5,0.7452830188679245,0.6728395061728395,0.6646341463414634,0.6687116564417178,0.8130863039399625,207,53,55,109
10,0.38174867967389664,0.5,0.75,0.6526315789473685,0.7560975609756098,0.7005649717514124,0.8169324577861165,194,66,40,124
11,0.35044811159934636,0.5,0.7240566037735849,0.6358381502890174,0.6707317073170732,0.6528189910979229,0.8159005628517824,197,63,54,110
12,0.37365946229898706,0.5,0.7311320754716981,0.654320987654321,0.6463414634146342,0.6503067484662577,0.7965290806754222,204,56,58,106
13,0.3566072082744454,0.5,0.7004716981132075,0.5902439024390244,0.7378048780487805,0.6558265582655827,0.7820121951219512,176,84,43,121
14,0.30857004675100436,0.5,0.7051886792452831,0.6031746031746031,0.6951219512195121,0.6458923512747875,0.7897748592870544,185,75,50,114
15,0.3174010622051527,0.5,0.7169811320754716,0.6089108910891089,0.75,0.6721311475409836,0.7894230769230768,181,79,41,123
16,0.30505720174537515,0.5,0.7311320754716981,0.6666666666666666,0.6097560975609756,0.6369426751592356,0.7858348968105064,210,50,64,100
17,0.3001219931076158,0.5,0.7051886792452831,0.6181818181818182,0.6219512195121951,0.6200607902735562,0.785858348968105,197,63,62,102
18,0.28606243445625845,0.5,0.7240566037735849,0.6441717791411042,0.6402439024390244,0.6422018348623854,0.7962711069418386,202,58,59,105
19,0.2653888427423981,0.5,0.7216981132075472,0.6419753086419753,0.6341463414634146,0.6380368098159509,0.7878517823639775,202,58,60,104
20,0.2674178767879054,0.5,0.714622641509434,0.6482758620689655,0.573170731707317,0.6084142394822006,0.7966697936210132,209,51,70,94
21,0.2697077345735622,0.5,0.7122641509433962,0.6544117647058824,0.5426829268292683,0.5933333333333334,0.7880863039399625,213,47,75,89
22,0.2579225729096611,0.5,0.7429245283018868,0.6687116564417178,0.6646341463414634,0.6666666666666666,0.8079737335834897,206,54,55,109
