method,heldout_gene,feature_set,k,n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,tn,fp,fn,tp
contrastive_lora_esm_knn,SCN1A,mutant_site,5,61,49,12,0.6065573770491803,0.6607142857142857,0.5642857142857143,0.42857142857142855,0.3,0.75,0.7185374149659864,0.38103948896631823,28,21,3,9
contrastive_lora_esm_knn,SCN1A,wt_mut_site,5,61,49,12,0.5573770491803278,0.6301020408163265,0.5246753246753246,0.4,0.2727272727272727,0.75,0.7091836734693878,0.33340215038584603,25,24,3,9
contrastive_lora_esm_knn,SCN1A,mutant_site,1,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.47368421052631576,0.34615384615384615,0.75,0.7015306122448981,0.30879571248423704,32,17,3,9
contrastive_lora_esm_knn,SCN1A,wt_mut_site,3,61,49,12,0.5737704918032787,0.6088435374149659,0.5279761904761905,0.38095238095238093,0.26666666666666666,0.6666666666666666,0.689625850340136,0.333565159794668,27,22,4,8
contrastive_lora_esm_knn,SCN1A,mutant_site,3,61,49,12,0.5573770491803278,0.5986394557823129,0.5151604356785399,0.37209302325581395,0.25806451612903225,0.6666666666666666,0.6870748299319727,0.3334725182924893,26,23,4,8
contrastive_lora_esm_knn,SCN1A,wt_site,3,61,49,12,0.639344262295082,0.6496598639455782,0.5795739348370927,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.6785714285714286,0.322258825880633,31,18,4,8
contrastive_lora_esm_knn,SCN1A,wt_site,5,61,49,12,0.5901639344262295,0.6190476190476191,0.5408009635651911,0.3902439024390244,0.27586206896551724,0.6666666666666666,0.6607142857142857,0.3053815186927581,28,21,4,8
contrastive_lora_esm_knn,SCN1A,wt_site,1,61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.42424242424242425,0.3333333333333333,0.5833333333333334,0.648809523809524,0.27641165755919855,35,14,5,7
contrastive_lora_esm_knn,SCN1A,wt_mut_site,1,61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.42424242424242425,0.3333333333333333,0.5833333333333334,0.648809523809524,0.27641165755919855,35,14,5,7
contrastive_lora_esm_knn,SCN1A,delta_site,5,61,49,12,0.6065573770491803,0.5977891156462585,0.5413533834586466,0.3684210526315789,0.2692307692307692,0.5833333333333334,0.6394557823129252,0.2825369075369075,30,19,5,7
contrastive_lora_esm_knn,SCN1A,delta_site,3,61,49,12,0.5901639344262295,0.5875850340136055,0.5288847698486253,0.358974358974359,0.25925925925925924,0.5833333333333334,0.6045918367346939,0.25573146102735683,29,20,5,7
contrastive_lora_esm_knn,SCN1A,delta_site,1,61,49,12,0.5573770491803278,0.5042517006802721,0.47631160572337045,0.2702702702702703,0.2,0.4166666666666667,0.5042517006802721,0.19808743169398907,29,20,7,5
