feature_set,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_gof_f1,std_gof_f1,mean_average_precision,std_average_precision
mutant_site,1,3,0.6994535519125683,0.025041397240195874,0.7395124716553289,0.033286589697605944,0.7395124716553289,0.03328658969760584,0.5135135135135135,0.03521882902742522,0.34273854560739797,0.03008618167141359
mutant_site,5,3,0.633879781420765,0.025041397240195815,0.6986961451247166,0.03328658969760588,0.7247732426303855,0.013851237781032425,0.46418892760356173,0.031387549452124366,0.35974137699263986,0.02029294921095119
mutant_site,3,3,0.6174863387978142,0.06625330957913739,0.6780045351473923,0.07331358932186825,0.7142857142857143,0.023626605424234427,0.44648633020726036,0.07070904251663618,0.32625575393185385,0.006853852423293091
wt_mut_site,5,3,0.6065573770491803,0.04337297231253432,0.6502267573696145,0.02716212326090166,0.7131519274376417,0.022374343392138164,0.4200854700854701,0.026409426590564743,0.3274871339613739,0.019412831891882667
wt_mut_site,3,3,0.6229508196721311,0.049180327868852444,0.6499433106575964,0.04722514847216006,0.7046485260770975,0.022438884901377333,0.42163100057836894,0.04740078093002921,0.32071680764759086,0.03141648130887436
wt_mut_site,1,3,0.6939890710382514,0.00946475851130535,0.6941609977324262,0.053661336209697,0.6941609977324265,0.05366133620969699,0.46923369028632184,0.052099751985838445,0.3090563972602461,0.03973459560124624
wt_site,3,3,0.6284153005464481,0.05008279448039169,0.6428571428571428,0.031173984319427517,0.6748866213151928,0.016051695164135838,0.4154831523252575,0.03211035434229927,0.3070536263508687,0.030626493916261155
wt_site,1,3,0.6775956284153005,0.0189295170226107,0.6629818594104309,0.04343676361562479,0.662981859410431,0.04343676361562479,0.43690963690963686,0.04461302269250088,0.2850318101422877,0.030758134861983068
wt_site,5,3,0.5956284153005464,0.025041397240195874,0.6014739229024944,0.021584797464281144,0.6624149659863946,0.01791777849124611,0.372874093605801,0.02067887289055306,0.29971100549099455,0.021799052290961136
delta_site,5,3,0.6120218579234973,0.025041397240195874,0.6221655328798186,0.026075556988904576,0.6505102040816326,0.014947615502760952,0.3932391955498502,0.026443328293505104,0.3011637422020103,0.022430980214524256
delta_site,3,3,0.5573770491803279,0.02839427553391598,0.5357142857142857,0.047596265201212726,0.5907029478458049,0.024056261216234345,0.3073774179037337,0.048332374511703705,0.27794918980924477,0.024052451292586027
delta_site,1,3,0.5846994535519126,0.04732379255652675,0.542233560090703,0.03342748976826658,0.542233560090703,0.03342748976826662,0.30807789496813887,0.03580198612910367,0.21326000251240496,0.01328016631470864
