target_gene,method,hidden_dim,proj_dim,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1,mean_final_loss
SCN1A,contrastive_projection_wt_mut,512,512,1,5,0.7836065573770492,0.007331370418032118,0.8023809523809524,0.004563404035713911,0.8023809523809524,0.0045634040357138556,0.42600477846379486,0.008066623295453776,0.6024955436720143,0.00797172184491904,4.6989082336425785
SCN1A,contrastive_projection_wt_mut,1024,512,3,5,0.7836065573770492,0.0073313704180320936,0.8023809523809524,0.0045634040357138955,0.8023809523809524,0.0014228912015886018,0.4296122820712984,0.0,0.6024955436720143,0.007971721844919049,4.69650411605835
SCN1A,contrastive_projection_wt_mut,1024,512,5,5,0.7836065573770492,0.0073313704180320936,0.8023809523809524,0.0045634040357138955,0.8023809523809524,0.0014228912015886018,0.4296122820712984,0.0,0.6024955436720143,0.007971721844919049,4.69650411605835
SCN1A,contrastive_projection_wt_mut,1024,256,5,5,0.7836065573770492,0.0073313704180320936,0.8023809523809524,0.004563404035713911,0.8020408163265307,0.004899612343839397,0.4335805360395524,0.008873285624999179,0.6024955436720143,0.007971721844919049,4.69741678237915
SCN1A,contrastive_projection_wt_mut,512,512,3,5,0.7836065573770492,0.007331370418032118,0.8023809523809524,0.004563404035713911,0.8005102040816328,0.005364561325029782,0.4220762070352234,0.01033479267984745,0.6024955436720143,0.00797172184491904,4.6989082336425785
SCN1A,contrastive_projection_wt_mut,512,512,5,5,0.7836065573770492,0.007331370418032118,0.8023809523809524,0.004563404035713911,0.8001700680272108,0.005102040816326555,0.4220762070352234,0.01033479267984745,0.6024955436720143,0.00797172184491904,4.6989082336425785
SCN1A,contrastive_projection_wt_mut,512,256,5,5,0.780327868852459,0.008979058319756834,0.8003401360544217,0.005589005688828305,0.8003401360544217,0.003526605672334621,0.42600477846379486,0.00806662329545378,0.5989304812834224,0.009763325445724879,4.700240802764893
SCN1A,contrastive_projection_wt_mut,512,256,3,5,0.780327868852459,0.008979058319756834,0.8003401360544217,0.005589005688828305,0.7986394557823129,0.004899612343839449,0.4223972748562912,0.009879555510554918,0.5989304812834224,0.009763325445724879,4.700240802764893
SCN1A,contrastive_projection_wt_mut,1024,256,3,5,0.7770491803278687,0.008979058319756867,0.7982993197278911,0.005589005688828272,0.8003401360544219,0.007567549476628228,0.4299730324320488,0.013401281111837457,0.5953654188948307,0.009763325445724853,4.69741678237915
SCN1A,contrastive_projection_wt_mut,256,512,5,5,0.7770491803278687,0.014662740836064225,0.7982993197278911,0.009126808071427756,0.8003401360544217,0.006431180408567723,0.42600477846379486,0.008066623295453776,0.5955691367456073,0.015546421828514461,4.703696537017822
SCN2A,contrastive_projection_wt_mut,512,64,1,5,0.64375,0.017116329922036436,0.6515873015873016,0.015214515486254685,0.6515873015873016,0.015214515486254685,0.6588690476190476,0.010994298690662496,0.65,0.022821773229381906,4.985027122497558
SCN2A,contrastive_projection_wt_mut,1024,128,5,5,0.6375,0.017116329922036436,0.6460317460317461,0.015214515486254685,0.6611111111111112,0.012735560742762839,0.6582850020350021,0.008921744713363367,0.6416666666666666,0.02282177322938191,4.981734848022461
SCN2A,contrastive_projection_wt_mut,1024,128,1,5,0.6375,0.017116329922036436,0.6460317460317461,0.015214515486254685,0.6460317460317461,0.015214515486254685,0.6548544973544973,0.010994298690662496,0.6416666666666666,0.02282177322938191,4.981734848022461
SCN2A,contrastive_projection_wt_mut,256,64,1,5,0.6375,0.02795084971874736,0.6460317460317461,0.024845199749997673,0.6460317460317461,0.024845199749997673,0.6549603174603175,0.018190235531248277,0.6411764705882353,0.036171687871320156,4.9874587059021
SCN2A,contrastive_projection_wt_mut,256,256,5,5,0.6375,0.017116329922036436,0.6460317460317461,0.015214515486254685,0.6436507936507937,0.008602969598682125,0.6483358770858771,0.004502912428372158,0.6416666666666666,0.022821773229381875,4.984533500671387
SCN2A,contrastive_projection_wt_mut,1024,128,3,5,0.63125,0.013975424859373684,0.6404761904761905,0.012422599874998896,0.6571428571428573,0.010347940325718475,0.6562016687016687,0.007569672901724115,0.6333333333333333,0.018633899812498238,4.981734848022461
SCN2A,contrastive_projection_wt_mut,512,64,5,5,0.63125,0.026145625829189854,0.6404761904761905,0.023240556292613204,0.6519841269841271,0.012517309758402848,0.6563649776149776,0.01052764595674395,0.6327956989247312,0.035831931745855014,4.985027122497558
SCN2A,contrastive_projection_wt_mut,256,64,5,5,0.63125,0.013975424859373692,0.6404761904761905,0.012422599874998875,0.651984126984127,0.029147088775323602,0.6564977614977615,0.023853478578738947,0.6333333333333333,0.018633899812498234,4.9874587059021
SCN2A,contrastive_projection_wt_mut,1024,512,5,5,0.63125,0.013975424859373692,0.6404761904761905,0.012422599874998875,0.6484126984126984,0.014471890895881374,0.6479217541717541,0.008786988247598783,0.6333333333333333,0.018633899812498234,4.980136871337891
SCN2A,contrastive_projection_wt_mut,256,128,5,5,0.63125,0.013975424859373692,0.6404761904761905,0.012422599874998875,0.6476190476190476,0.01357351696546597,0.6502075702075703,0.0053540004735959925,0.6333333333333333,0.018633899812498234,4.985867309570312
