analysis,feature_set,k,n,mean_same_label_rate_top_k,mean_candidate_baseline_same_label_rate,mean_lift_over_candidate_baseline
global_cross_gene_same_mechanism_neighbor_enrichment,mutant_site,1,348,0.6522988505747126,0.4891612129786459,1.3624662142495354
global_cross_gene_same_mechanism_neighbor_enrichment,mutant_site,3,348,0.6159003831417624,0.4891612129786459,1.2978054748764871
global_cross_gene_same_mechanism_neighbor_enrichment,mutant_site,5,348,0.5873563218390805,0.4891612129786459,1.2359384038321217
global_cross_gene_same_mechanism_neighbor_enrichment,wt_site,1,348,0.6580459770114943,0.4891612129786459,1.3662140263503701
global_cross_gene_same_mechanism_neighbor_enrichment,wt_site,3,348,0.5890804597701149,0.4891612129786459,1.233580821193751
global_cross_gene_same_mechanism_neighbor_enrichment,wt_site,5,348,0.5655172413793104,0.4891612129786459,1.1881044948492043
global_cross_gene_same_mechanism_neighbor_enrichment,delta_site,1,348,0.6063218390804598,0.4891612129786459,1.2540503509884
global_cross_gene_same_mechanism_neighbor_enrichment,delta_site,3,348,0.5766283524904215,0.4891612129786459,1.188617991712407
global_cross_gene_same_mechanism_neighbor_enrichment,delta_site,5,348,0.5649425287356322,0.4891612129786459,1.1607162795905852
global_cross_gene_same_mechanism_neighbor_enrichment,wt_mut_site,1,348,0.6695402298850575,0.4891612129786459,1.3961381802611874
global_cross_gene_same_mechanism_neighbor_enrichment,wt_mut_site,3,348,0.6053639846743295,0.4891612129786459,1.2686363958491989
global_cross_gene_same_mechanism_neighbor_enrichment,wt_mut_site,5,348,0.5839080459770115,0.4891612129786459,1.2263459039743934
