analysis,feature_set,pair_mode,k,n_pairs,n_unique_groups,pairwise_accuracy,strict_successes,strict_failures,ties
pairwise_discordant_knn_score_ranking,mutant_site,same_gene_same_position,1,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,mutant_site,same_cid_cross_gene,1,19,14,0.5263157894736842,1,0,18
pairwise_discordant_knn_score_ranking,mutant_site,scn1a_same_cid_cross_gene,1,4,4,0.5,0,0,4
pairwise_discordant_knn_score_ranking,mutant_site,same_gene_same_position,3,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,mutant_site,same_cid_cross_gene,3,19,14,0.42105263157894735,5,8,6
pairwise_discordant_knn_score_ranking,mutant_site,scn1a_same_cid_cross_gene,3,4,4,0.625,2,1,1
pairwise_discordant_knn_score_ranking,mutant_site,same_gene_same_position,5,3,3,0.6666666666666666,1,0,2
pairwise_discordant_knn_score_ranking,mutant_site,same_cid_cross_gene,5,19,14,0.3684210526315789,3,8,8
pairwise_discordant_knn_score_ranking,mutant_site,scn1a_same_cid_cross_gene,5,4,4,0.625,2,1,1
pairwise_discordant_knn_score_ranking,wt_site,same_gene_same_position,1,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_site,same_cid_cross_gene,1,19,14,0.5,1,1,17
pairwise_discordant_knn_score_ranking,wt_site,scn1a_same_cid_cross_gene,1,4,4,0.5,0,0,4
pairwise_discordant_knn_score_ranking,wt_site,same_gene_same_position,3,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_site,same_cid_cross_gene,3,19,14,0.47368421052631576,4,5,10
pairwise_discordant_knn_score_ranking,wt_site,scn1a_same_cid_cross_gene,3,4,4,0.75,2,0,2
pairwise_discordant_knn_score_ranking,wt_site,same_gene_same_position,5,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_site,same_cid_cross_gene,5,19,14,0.42105263157894735,5,8,6
pairwise_discordant_knn_score_ranking,wt_site,scn1a_same_cid_cross_gene,5,4,4,0.625,2,1,1
pairwise_discordant_knn_score_ranking,delta_site,same_gene_same_position,1,3,3,0.6666666666666666,1,0,2
pairwise_discordant_knn_score_ranking,delta_site,same_cid_cross_gene,1,19,14,0.631578947368421,6,1,12
pairwise_discordant_knn_score_ranking,delta_site,scn1a_same_cid_cross_gene,1,4,4,0.75,3,1,0
pairwise_discordant_knn_score_ranking,delta_site,same_gene_same_position,3,3,3,0.8333333333333334,2,0,1
pairwise_discordant_knn_score_ranking,delta_site,same_cid_cross_gene,3,19,14,0.47368421052631576,6,7,6
pairwise_discordant_knn_score_ranking,delta_site,scn1a_same_cid_cross_gene,3,4,4,0.625,2,1,1
pairwise_discordant_knn_score_ranking,delta_site,same_gene_same_position,5,3,3,0.6666666666666666,1,0,2
pairwise_discordant_knn_score_ranking,delta_site,same_cid_cross_gene,5,19,14,0.4473684210526316,7,9,3
pairwise_discordant_knn_score_ranking,delta_site,scn1a_same_cid_cross_gene,5,4,4,0.75,3,1,0
pairwise_discordant_knn_score_ranking,wt_mut_site,same_gene_same_position,1,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_mut_site,same_cid_cross_gene,1,19,14,0.5,1,1,17
pairwise_discordant_knn_score_ranking,wt_mut_site,scn1a_same_cid_cross_gene,1,4,4,0.5,0,0,4
pairwise_discordant_knn_score_ranking,wt_mut_site,same_gene_same_position,3,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_mut_site,same_cid_cross_gene,3,19,14,0.42105263157894735,4,7,8
pairwise_discordant_knn_score_ranking,wt_mut_site,scn1a_same_cid_cross_gene,3,4,4,0.625,2,1,1
pairwise_discordant_knn_score_ranking,wt_mut_site,same_gene_same_position,5,3,3,0.5,0,0,3
pairwise_discordant_knn_score_ranking,wt_mut_site,same_cid_cross_gene,5,19,14,0.39473684210526316,4,8,7
pairwise_discordant_knn_score_ranking,wt_mut_site,scn1a_same_cid_cross_gene,5,4,4,0.75,2,0,2
