n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,roc_auc,average_precision,permutation_auc_null_mean,permutation_auc_null_std,permutation_p_auc_greater_than_null,analysis,feature_set,candidate_mode,k
61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.7117346938775512,0.3191803278688525,0.49745527210884355,0.09372313560380728,0.013797240551889621,scn1a_knn_label_transfer,mutant_site,all_non_scn1a,1
21,17,4,0.9047619047619048,0.9411764705882353,0.86875,0.8,0.9411764705882353,0.6666666666666666,0.4967147058823529,0.16289265339830974,0.0003999200159968006,scn1a_knn_label_transfer,mutant_site,same_cid_non_scn1a,1
61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.7780612244897959,0.40252608689513,0.4979942176870748,0.0893339522372578,0.0007998400319936012,scn1a_knn_label_transfer,mutant_site,all_non_scn1a,3
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,mutant_site,same_cid_non_scn1a,3
61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.766156462585034,0.44792082523554866,0.4983498299319728,0.10040687518631954,0.003199360127974405,scn1a_knn_label_transfer,mutant_site,all_non_scn1a,5
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,mutant_site,same_cid_non_scn1a,5
61,49,12,0.7213114754098361,0.6692176870748299,0.6323998582063098,0.45161290322580644,0.6692176870748299,0.29687949381650847,0.49737874149659855,0.08814504023155326,0.03199360127974405,scn1a_knn_label_transfer,wt_site,all_non_scn1a,1
21,17,4,0.9047619047619048,0.9411764705882353,0.86875,0.8,0.9411764705882353,0.6666666666666666,0.4974323529411764,0.16476437698163196,0.0007998400319936012,scn1a_knn_label_transfer,wt_site,same_cid_non_scn1a,1
61,49,12,0.639344262295082,0.6811224489795918,0.5908536585365853,0.45,0.7363945578231292,0.356581032810541,0.49845544217687077,0.09378362421315321,0.004399120175964807,scn1a_knn_label_transfer,wt_site,all_non_scn1a,3
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,wt_site,same_cid_non_scn1a,3
61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.7066326530612245,0.349480611103002,0.4980198979591837,0.0978585076998484,0.013997200559888023,scn1a_knn_label_transfer,wt_site,all_non_scn1a,5
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,wt_site,same_cid_non_scn1a,5
61,49,12,0.6229508196721312,0.5450680272108843,0.5223016683690841,0.30303030303030304,0.5450680272108844,0.21396044756700494,0.49832125850340137,0.0830137524657726,0.3053389322135573,scn1a_knn_label_transfer,delta_site,all_non_scn1a,1
21,17,4,0.9047619047619048,0.9411764705882353,0.86875,0.8,0.9411764705882353,0.6666666666666666,0.49664411764705874,0.162683702897928,0.0005998800239952009,scn1a_knn_label_transfer,delta_site,same_cid_non_scn1a,1
61,49,12,0.6557377049180327,0.6598639455782312,0.5926868044515103,0.43243243243243246,0.6624149659863946,0.30872406862989354,0.4980202380952381,0.09551660899323394,0.04519096180763847,scn1a_knn_label_transfer,delta_site,all_non_scn1a,3
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,delta_site,same_cid_non_scn1a,3
61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.6768707482993198,0.33364518045810476,0.4998124149659864,0.09667327563479948,0.033193361327734455,scn1a_knn_label_transfer,delta_site,all_non_scn1a,5
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,delta_site,same_cid_non_scn1a,5
61,49,12,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.7423469387755102,0.3559985096870343,0.4974307823129251,0.09302624449979342,0.004999000199960008,scn1a_knn_label_transfer,wt_mut_site,all_non_scn1a,1
21,17,4,0.9047619047619048,0.9411764705882353,0.86875,0.8,0.9411764705882353,0.6666666666666666,0.4967147058823529,0.16289265339830974,0.0003999200159968006,scn1a_knn_label_transfer,wt_mut_site,same_cid_non_scn1a,1
61,49,12,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.78656462585034,0.39994045116995935,0.49720391156462584,0.10276520352304702,0.0007998400319936012,scn1a_knn_label_transfer,wt_mut_site,all_non_scn1a,3
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,wt_mut_site,same_cid_non_scn1a,3
61,49,12,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.7899659863945578,0.4276453728816819,0.49809625850340133,0.09959008904443538,0.0015996800639872025,scn1a_knn_label_transfer,wt_mut_site,all_non_scn1a,5
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,0.48968529411764705,0.1887777902042358,0.0033993201359728054,scn1a_knn_label_transfer,wt_mut_site,same_cid_non_scn1a,5
