target_gene,method,feature_set,k,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN10A,frozen_esm_knn,wt_site,1,16,7,9,0.6875,0.7063492063492063,0.6862745098039216,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.7063492063492064,0.712962962962963
SCN10A,frozen_esm_knn,wt_site,3,16,7,9,0.5,0.5238095238095238,0.4920634920634921,0.42857142857142855,0.6,0.3333333333333333,0.5793650793650793,0.7132936507936507
SCN10A,frozen_esm_knn,wt_site,5,16,7,9,0.5625,0.5793650793650793,0.5607843137254902,0.5333333333333333,0.6666666666666666,0.4444444444444444,0.626984126984127,0.7042508417508417
SCN10A,frozen_esm_knn,mutant_site,1,16,7,9,0.6875,0.7063492063492063,0.6862745098039216,0.6666666666666666,0.8333333333333334,0.5555555555555556,0.7063492063492064,0.712962962962963
SCN10A,frozen_esm_knn,mutant_site,3,16,7,9,0.5,0.5238095238095238,0.4920634920634921,0.42857142857142855,0.6,0.3333333333333333,0.5396825396825398,0.6976495726495726
SCN10A,frozen_esm_knn,mutant_site,5,16,7,9,0.625,0.6349206349206349,0.625,0.625,0.7142857142857143,0.5555555555555556,0.6349206349206349,0.7397486772486772
SCN10A,frozen_esm_knn,delta_site,1,16,7,9,0.5,0.5079365079365079,0.5,0.5,0.5714285714285714,0.4444444444444444,0.5079365079365079,0.566468253968254
SCN10A,frozen_esm_knn,delta_site,3,16,7,9,0.5,0.5238095238095238,0.4920634920634921,0.42857142857142855,0.6,0.3333333333333333,0.5634920634920635,0.6319444444444444
SCN10A,frozen_esm_knn,delta_site,5,16,7,9,0.5,0.5396825396825397,0.4666666666666667,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5873015873015872,0.7060185185185185
SCN10A,frozen_esm_knn,wt_mut_site,1,16,7,9,0.625,0.6349206349206349,0.625,0.625,0.7142857142857143,0.5555555555555556,0.6349206349206349,0.6468253968253969
SCN10A,frozen_esm_knn,wt_mut_site,3,16,7,9,0.625,0.6507936507936507,0.6190476190476191,0.5714285714285714,0.8,0.4444444444444444,0.6111111111111112,0.7044871794871795
SCN10A,frozen_esm_knn,wt_mut_site,5,16,7,9,0.6875,0.7222222222222222,0.6761133603238867,0.6153846153846154,1.0,0.4444444444444444,0.5873015873015873,0.736574074074074
SCN1A,frozen_esm_knn,wt_site,1,61,49,12,0.7213114754098361,0.6692176870748299,0.6323998582063098,0.45161290322580644,0.3684210526315789,0.5833333333333334,0.6692176870748299,0.29687949381650847
SCN1A,frozen_esm_knn,wt_site,3,61,49,12,0.639344262295082,0.6811224489795918,0.5908536585365853,0.45,0.32142857142857145,0.75,0.7363945578231292,0.356581032810541
SCN1A,frozen_esm_knn,wt_site,5,61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.2903225806451613,0.75,0.7066326530612245,0.349480611103002
SCN1A,frozen_esm_knn,mutant_site,1,61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.36,0.75,0.7117346938775512,0.3191803278688525
SCN1A,frozen_esm_knn,mutant_site,3,61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.37037037037037035,0.8333333333333334,0.7780612244897959,0.40252608689513
SCN1A,frozen_esm_knn,mutant_site,5,61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.2903225806451613,0.75,0.766156462585034,0.44792082523554866
SCN1A,frozen_esm_knn,delta_site,1,61,49,12,0.6229508196721312,0.5450680272108843,0.5223016683690841,0.30303030303030304,0.23809523809523808,0.4166666666666667,0.5450680272108844,0.21396044756700494
SCN1A,frozen_esm_knn,delta_site,3,61,49,12,0.6557377049180327,0.6598639455782312,0.5926868044515103,0.43243243243243246,0.32,0.6666666666666666,0.6624149659863946,0.30872406862989354
SCN1A,frozen_esm_knn,delta_site,5,61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.28,0.5833333333333334,0.6768707482993198,0.33364518045810476
SCN1A,frozen_esm_knn,wt_mut_site,1,61,49,12,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343
