config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
5,SCN10A,linear_svm,0.01,none,0,none,0,6,0.4408470129766607,0.7555555555555555,0.7122844827586207,0.7507037297677691,0.6206896551724138,0.7116114719598957,0.7114203587417873,0.7896185824757254,0.6550738675532518
10,SCN10A,rbf_svm,0.1,0.01,0,none,0,6,0.02824936396671604,0.7428571428571429,0.7064347290640394,0.7603360309641097,0.6161137440758294,0.7247744837567524,0.7156495290423862,0.7676525524739811,0.646893311599194
9,SCN10A,rbf_svm,0.1,scale,0,none,0,6,0.038032626197034514,0.7555555555555555,0.7002770935960592,0.7551460239268122,0.5968586387434555,0.7402145438637965,0.7215397697540554,0.7690592476306762,0.6381982617226857
0,SCN10A,logistic_regression,0.01,none,0,none,0,6,0.5896826370798127,0.7428571428571429,0.6964285714285714,0.7463933849401829,0.5970149253731343,0.6769375401833838,0.6903457323100181,0.7779758270829699,0.6452584412143235
11,SCN10A,rbf_svm,0.1,0.1,0,none,0,6,-0.7232583044474863,0.6952380952380952,0.6955049261083743,0.7231263194933146,0.6190476190476191,0.5555644600334794,0.5,0.7061711436711436,0.24962962962962965
21,SCN10A,random_forest,0.0,none,300,2,10,6,0.563441880224165,0.7428571428571429,0.6944273399014778,0.7477128782547501,0.592964824120603,0.6836603210730825,0.7275499302285017,0.7702678934821791,0.6671557167118295
19,SCN10A,random_forest,0.0,none,300,2,3,6,0.5736779007864504,0.7555555555555555,0.6942733990147784,0.7453817733990148,0.5837837837837838,0.6800231347586485,0.7263481888481887,0.7638078522007093,0.6652754924813749
18,SCN10A,random_forest,0.0,none,300,2,1,6,0.5744820758203097,0.7555555555555555,0.6942733990147784,0.7451178747361012,0.5837837837837838,0.6789615636333831,0.725635938135938,0.7639782836211407,0.6646109523431505
23,SCN10A,random_forest,0.0,none,300,3,3,6,0.5675995230382597,0.746031746031746,0.6928879310344828,0.7559377199155525,0.5876288659793815,0.6788647605287227,0.7056086109657539,0.7864359846502703,0.6437107597885934
22,SCN10A,random_forest,0.0,none,300,3,1,6,0.5337991601095138,0.7047619047619048,0.6908866995073892,0.7554539057002111,0.6075949367088608,0.6815970009658812,0.7086803738589452,0.7787353189138905,0.6462527652086476
20,SCN10A,random_forest,0.0,none,300,2,5,6,0.5740656660936532,0.7523809523809524,0.6898091133004927,0.7445460942997889,0.5760869565217391,0.6783524654467555,0.7253597592883306,0.7602520495377637,0.6648163914224919
25,SCN10A,random_forest,0.0,none,300,3,10,6,0.5490301024207531,0.7174603174603175,0.6847290640394088,0.7548821252638988,0.5898617511520737,0.683563517968422,0.7061515204372347,0.7965390429676145,0.6448480033038857
24,SCN10A,random_forest,0.0,none,300,3,5,6,0.5354716846582455,0.6952380952380952,0.6814963054187192,0.7523311048557354,0.5966386554621849,0.6820494739045189,0.707745363102506,0.7848268794697367,0.6458110307913034
1,SCN10A,logistic_regression,0.1,none,0,none,0,6,0.5866607315158143,0.7015873015873015,0.6784174876847291,0.7176724137931034,0.5877192982456141,0.664498617140426,0.6828580150008721,0.7588846008488866,0.6299684351049394
