outer_target_gene,inner_validation_gene,actual_pca_dim,feature_set,pca_dim,model_name,C,gamma,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN10A,SCN1A,8,wt_site,8,logistic_regression,0.01,none,61,49,12,0.6721311475409836,0.7329931972789117,0.6280487804878049,0.5,0.35714285714285715,0.8333333333333334,0.7448979591836735,0.46524575709506133
SCN10A,SCN2A,8,wt_site,8,logistic_regression,0.01,none,32,14,18,0.71875,0.7023809523809523,0.7046153846153846,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7023809523809524,0.7334231695854502
SCN10A,SCN3A,8,wt_site,8,logistic_regression,0.01,none,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.55,0.8748809523809524
SCN10A,SCN4A,8,wt_site,8,logistic_regression,0.01,none,31,13,18,0.8709677419354839,0.8461538461538461,0.8590909090909091,0.9,0.8181818181818182,1.0,0.9102564102564102,0.926302566924342
SCN10A,SCN5A,8,wt_site,8,logistic_regression,0.01,none,157,117,40,0.7197452229299363,0.7132478632478632,0.677196261682243,0.56,0.4666666666666667,0.7,0.8110042735042735,0.6757785399010234
SCN10A,SCN8A,8,wt_site,8,logistic_regression,0.01,none,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7321428571428572,0.7784528963100392
SCN10A,SCN1A,8,wt_site,8,logistic_regression,0.1,none,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.47368421052631576,0.34615384615384615,0.75,0.7534013605442177,0.4388216110198868
SCN10A,SCN2A,8,wt_site,8,logistic_regression,0.1,none,32,14,18,0.71875,0.7103174603174603,0.7117117117117118,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.7063492063492063,0.735254246965334
SCN10A,SCN3A,8,wt_site,8,logistic_regression,0.1,none,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.5,0.8415476190476191
SCN10A,SCN4A,8,wt_site,8,logistic_regression,0.1,none,31,13,18,0.9032258064516129,0.8952991452991452,0.8994594594594595,0.918918918918919,0.8947368421052632,0.9444444444444444,0.905982905982906,0.915451535239977
SCN10A,SCN5A,8,wt_site,8,logistic_regression,0.1,none,157,117,40,0.7388535031847133,0.726068376068376,0.6941897477314837,0.5773195876288659,0.49122807017543857,0.7,0.8197649572649574,0.6806370710291089
SCN10A,SCN8A,8,wt_site,8,logistic_regression,0.1,none,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7232142857142857,0.776288394145537
SCN10A,SCN1A,8,wt_site,8,logistic_regression,1.0,none,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.47368421052631576,0.34615384615384615,0.75,0.7602040816326531,0.45155970625798214
SCN10A,SCN2A,8,wt_site,8,logistic_regression,1.0,none,32,14,18,0.71875,0.7103174603174603,0.7117117117117118,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.7182539682539681,0.7459981327092198
SCN10A,SCN3A,8,wt_site,8,logistic_regression,1.0,none,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.5,0.8415476190476191
SCN10A,SCN4A,8,wt_site,8,logistic_regression,1.0,none,31,13,18,0.9032258064516129,0.8952991452991452,0.8994594594594595,0.918918918918919,0.8947368421052632,0.9444444444444444,0.9017094017094016,0.9053505251389669
SCN10A,SCN5A,8,wt_site,8,logistic_regression,1.0,none,157,117,40,0.7452229299363057,0.7303418803418803,0.6999235474006116,0.5833333333333334,0.5,0.7,0.8221153846153847,0.6772438908323287
SCN10A,SCN8A,8,wt_site,8,logistic_regression,1.0,none,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7232142857142857,0.776288394145537
SCN10A,SCN1A,8,wt_site,8,logistic_regression,10.0,none,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.47368421052631576,0.34615384615384615,0.75,0.7619047619047619,0.4547162719145478
SCN10A,SCN2A,8,wt_site,8,logistic_regression,10.0,none,32,14,18,0.71875,0.7103174603174603,0.7117117117117118,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.7222222222222223,0.7503191203635409
SCN10A,SCN3A,8,wt_site,8,logistic_regression,10.0,none,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.5,0.8415476190476191
SCN10A,SCN4A,8,wt_site,8,logistic_regression,10.0,none,31,13,18,0.9032258064516129,0.8952991452991452,0.8994594594594595,0.918918918918919,0.8947368421052632,0.9444444444444444,0.9017094017094016,0.9053505251389669
SCN10A,SCN5A,8,wt_site,8,logistic_regression,10.0,none,157,117,40,0.7452229299363057,0.7303418803418803,0.6999235474006116,0.5833333333333334,0.5,0.7,0.8231837606837606,0.6781758345499906
SCN10A,SCN8A,8,wt_site,8,logistic_regression,10.0,none,22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7232142857142857,0.776288394145537
SCN10A,SCN1A,8,wt_site,8,linear_svm,0.01,none,61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.37037037037037035,0.8333333333333334,0.7448979591836734,0.43391275442607297
SCN10A,SCN2A,8,wt_site,8,linear_svm,0.01,none,32,14,18,0.71875,0.7103174603174603,0.7117117117117118,0.7567567567567568,0.7368421052631579,0.7777777777777778,0.7103174603174603,0.7332466531099141
SCN10A,SCN3A,8,wt_site,8,linear_svm,0.01,none,12,2,10,0.6666666666666666,0.6,0.5555555555555556,0.7777777777777778,0.875,0.7,0.5,0.8415476190476191
SCN10A,SCN4A,8,wt_site,8,linear_svm,0.01,none,31,13,18,0.9032258064516129,0.8952991452991452,0.8994594594594595,0.918918918918919,0.8947368421052632,0.9444444444444444,0.8846153846153846,0.8794110325328076
SCN10A,SCN5A,8,wt_site,8,linear_svm,0.01,none,157,117,40,0.7070063694267515,0.7047008547008546,0.6660192378838328,0.5490196078431373,0.45161290322580644,0.7,0.8186965811965813,0.6799616738089832
SCN10A,SCN8A,8,wt_site,8,linear_svm,0.01,none,22,8,14,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.72,0.8181818181818182,0.6428571428571429,0.7232142857142857,0.7962288703360132
SCN10A,SCN1A,8,wt_site,8,linear_svm,0.1,none,61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.36,0.75,0.7568027210884354,0.44873318303120435
