feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
wt_site,32,rbf_svm,10.0,scale,6,0.7785310530180632,0.7790761817547532,0.794836545729403,0.7212533759023323,0.7714073423248787,SCN10A
mutant_site,128,logistic_regression,0.1,none,6,0.7631106412396201,0.7764928193499623,0.7868738734810163,0.7344414252308988,0.7747067331326504,SCN10A
wt_mut_site,16,rbf_svm,10.0,scale,6,0.7664555825885936,0.775736234664806,0.8100031251816966,0.7196184670449376,0.7658745189241537,SCN10A
wt_mut_site,32,rbf_svm,10.0,scale,6,0.7636801152969026,0.7755770684342113,0.788682844932845,0.7151214798273622,0.7667890541569194,SCN10A
wt_site,16,rbf_svm,1.0,0.01,6,0.7553189099376074,0.7750468777254492,0.8004433397290539,0.7123956722666489,0.7717959228775202,SCN10A
mutant_site,128,linear_svm,0.01,none,6,0.7462740182317096,0.7685468631897203,0.8025561079132508,0.724504871563695,0.779079420756859,SCN10A
mutant_site,32,rbf_svm,10.0,scale,6,0.7714077683809434,0.7684938077795221,0.8268871009942438,0.7221224546805942,0.8061613504150831,SCN10A
wt_site,16,rbf_svm,10.0,scale,6,0.7563119926031784,0.7631919006919007,0.7910547124832839,0.7122240903753508,0.7531663830694318,SCN10A
mutant_site,128,logistic_regression,0.01,none,6,0.7522816818283719,0.7614603319960462,0.7998662712948428,0.736834207565915,0.7834567779712099,SCN10A
mutant_site,128,logistic_regression,1.0,none,6,0.7363769493821289,0.7598584946799233,0.7730496685853829,0.7040924755156476,0.7718151861470736,SCN10A
mutant_site,16,rbf_svm,1.0,0.01,6,0.754444517849239,0.7587719489505204,0.8045231554160126,0.697573386079578,0.7950182508627347,SCN10A
wt_mut_site,16,rbf_svm,1.0,scale,6,0.7600229531817244,0.7577337345194488,0.7824074074074074,0.7398323685452398,0.7560005713053646,SCN10A
wt_mut_site,8,rbf_svm,10.0,scale,6,0.7390980408813163,0.7566490057561487,0.7840459474388046,0.6975945730440664,0.750273327802509,SCN10A
mutant_site,8,rbf_svm,10.0,scale,6,0.7703860435982633,0.754492266992267,0.804386519565091,0.7427503634597455,0.7645467115688541,SCN10A
mutant_site,128,rbf_svm,1.0,scale,6,0.7614574507533781,0.7523613291470435,0.8044704633990348,0.7408607726212081,0.7763650155346191,SCN10A
wt_mut_site,8,rbf_svm,1.0,0.01,6,0.7329920644058262,0.7516963195534624,0.7954862928077214,0.6925653594771242,0.7627644773080503,SCN10A
wt_site,16,rbf_svm,10.0,0.01,6,0.7325237957207675,0.7505596255596255,0.7818081719867435,0.6930056377874214,0.7491736628515323,SCN10A
wt_mut_site,64,rbf_svm,10.0,scale,6,0.7407524344023964,0.7484443136228851,0.7660230972730973,0.6968886479322912,0.753489660158519,SCN10A
wt_site,128,rbf_svm,10.0,scale,6,0.7173289011424712,0.7480162364090935,0.7951552415838131,0.6906920313979138,0.7989108921985945,SCN10A
mutant_site,16,rbf_svm,10.0,scale,6,0.7440602485971178,0.747935199720914,0.8009484563055992,0.6966106099175057,0.7795413811643775,SCN10A
wt_mut_site,64,rbf_svm,1.0,scale,6,0.7603077428398173,0.7476335833478691,0.7888074888074889,0.7365447955284616,0.7557354175816423,SCN10A
mutant_site,16,rbf_svm,1.0,scale,6,0.7763626733616262,0.7472244025815454,0.808062605384034,0.7361619861619862,0.7836519111937469,SCN10A
wt_site,128,rbf_svm,1.0,scale,6,0.7416638010727681,0.7459812343740916,0.7867648555148555,0.7326197669586629,0.7528596436170248,SCN10A
