n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,k,target_gene,method,feature_set
16,7,9,0.625,0.6349206349206349,0.625,0.625,0.7142857142857143,0.5555555555555556,0.6349206349206349,0.6468253968253969,1,SCN10A,frozen_esm_knn,wt_mut_site
16,7,9,0.625,0.6507936507936507,0.6190476190476191,0.5714285714285714,0.8,0.4444444444444444,0.6111111111111112,0.7044871794871795,3,SCN10A,frozen_esm_knn,wt_mut_site
16,7,9,0.6875,0.7222222222222222,0.6761133603238867,0.6153846153846154,1.0,0.4444444444444444,0.5873015873015873,0.736574074074074,5,SCN10A,frozen_esm_knn,wt_mut_site
61,49,12,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,1,SCN1A,frozen_esm_knn,wt_mut_site
61,49,12,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,3,SCN1A,frozen_esm_knn,wt_mut_site
61,49,12,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,5,SCN1A,frozen_esm_knn,wt_mut_site
32,14,18,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6626984126984128,0.6668981481481481,1,SCN2A,frozen_esm_knn,wt_mut_site
32,14,18,0.71875,0.7261904761904762,0.718475073313783,0.7272727272727273,0.8,0.6666666666666666,0.7896825396825397,0.7899288781535159,3,SCN2A,frozen_esm_knn,wt_mut_site
32,14,18,0.75,0.753968253968254,0.7490196078431373,0.7647058823529411,0.8125,0.7222222222222222,0.7658730158730158,0.7430787811222594,5,SCN2A,frozen_esm_knn,wt_mut_site
12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.85,0.95,1,SCN3A,frozen_esm_knn,wt_mut_site
12,2,10,0.75,0.85,0.6974789915966386,0.8235294117647058,1.0,0.7,0.875,0.9633333333333334,3,SCN3A,frozen_esm_knn,wt_mut_site
12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,0.9,0.9636363636363636,5,SCN3A,frozen_esm_knn,wt_mut_site
31,13,18,0.7419354838709677,0.7457264957264957,0.7394957983193278,0.7647058823529411,0.8125,0.7222222222222222,0.7457264957264957,0.7480958781362008,1,SCN4A,frozen_esm_knn,wt_mut_site
31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8760683760683761,0.8924893365121069,3,SCN4A,frozen_esm_knn,wt_mut_site
31,13,18,0.8709677419354839,0.8782051282051282,0.8697478991596639,0.8823529411764706,0.9375,0.8333333333333334,0.8888888888888888,0.9266203703703704,5,SCN4A,frozen_esm_knn,wt_mut_site
157,117,40,0.6242038216560509,0.6738247863247864,0.6033486061747955,0.512396694214876,0.38271604938271603,0.775,0.6738247863247863,0.35392977903593614,1,SCN5A,frozen_esm_knn,wt_mut_site
157,117,40,0.5222929936305732,0.605448717948718,0.5144129654831127,0.45255474452554745,0.31958762886597936,0.775,0.6544871794871795,0.35429302626623277,3,SCN5A,frozen_esm_knn,wt_mut_site
157,117,40,0.554140127388535,0.6514957264957265,0.5475131752305665,0.4927536231884058,0.3469387755102041,0.85,0.6641025641025641,0.3471543717971332,5,SCN5A,frozen_esm_knn,wt_mut_site
22,8,14,0.8181818181818182,0.8035714285714286,0.8035714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8035714285714285,0.8256029684601113,1,SCN8A,frozen_esm_knn,wt_mut_site
22,8,14,0.7727272727272727,0.7678571428571428,0.7603485838779956,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.7589285714285714,0.8108739999496302,3,SCN8A,frozen_esm_knn,wt_mut_site
22,8,14,0.8181818181818182,0.8303571428571428,0.811965811965812,0.8461538461538461,0.9166666666666666,0.7857142857142857,0.8035714285714286,0.8634370015948962,5,SCN8A,frozen_esm_knn,wt_mut_site
