outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,128,logistic_regression,0.01,none,6,0.5571326988356162,0.765079365079365,0.7717056650246306,0.7978096410978184,0.7063492063492064,0.7552910052910053,0.7142857142857143,0.740301724137931,0.7978096410978184,0.6739130434782609
SCN10A,wt_mut_site,128,rbf_svm,1.0,scale,6,0.49039129124581915,0.7873015873015873,0.7689347290640394,0.8018560872624912,0.7022222222222222,0.768395061728395,0.6952380952380952,0.7275246305418719,0.8018560872624912,0.6619718309859155
SCN10A,wt_mut_site,16,rbf_svm,1.0,scale,6,-0.005265321579414183,0.7555555555555555,0.7683189655172413,0.8062104152005629,0.7027027027027027,0.7475777664456911,0.7523809523809524,0.7638546798029557,0.8062104152005629,0.6976744186046512
SCN10A,wt_mut_site,64,rbf_svm,0.1,scale,6,-0.05272460148960967,0.7619047619047619,0.7672413793103448,0.7912121745249824,0.701195219123506,0.7516530185327293,0.7619047619047619,0.7292179802955665,0.7912121745249824,0.647887323943662
SCN10A,wt_mut_site,8,logistic_regression,0.01,none,6,0.5507541866671775,0.7682539682539683,0.7621613300492611,0.8019880365939481,0.694560669456067,0.75392995109632,0.726984126984127,0.7401477832512315,0.8019880365939481,0.6717557251908397
SCN10A,wt_mut_site,128,logistic_regression,0.1,none,6,0.7215593323261195,0.7746031746031746,0.7610837438423645,0.7777973258268824,0.6926406926406926,0.7573479152426521,0.7142857142857143,0.7282943349753694,0.7777973258268824,0.6590909090909091
SCN10A,wt_mut_site,64,rbf_svm,1.0,scale,6,0.43065619304296887,0.7841269841269841,0.7584667487684729,0.8010204081632654,0.6880733944954128,0.7615124254030462,0.7174603174603175,0.7447660098522167,0.8010204081632654,0.6787003610108303
SCN10A,wt_mut_site,64,logistic_regression,0.01,none,6,0.624638097641832,0.7777777777777778,0.7575431034482758,0.790948275862069,0.6875,0.7575431034482758,0.692063492063492,0.7110529556650247,0.790948275862069,0.6420664206642066
SCN10A,wt_mut_site,8,logistic_regression,0.1,none,6,0.5243388565319094,0.7587301587301587,0.7567733990147782,0.8012843068261788,0.6885245901639344,0.745816699227045,0.7428571428571429,0.7504618226600985,0.8012843068261788,0.6823529411764706
SCN10A,wt_mut_site,8,logistic_regression,10.0,none,6,0.5094651445008607,0.7555555555555555,0.7563115763546797,0.8015921885995777,0.6882591093117408,0.7436073614443821,0.7428571428571429,0.7484605911330049,0.8015921885995777,0.6798418972332015
SCN10A,wt_mut_site,8,logistic_regression,1.0,none,6,0.5096742549504825,0.7523809523809524,0.7538485221674877,0.8015921885995777,0.6854838709677419,0.7406476946461746,0.7396825396825397,0.7459975369458128,0.8015921885995777,0.6771653543307087
