feature_set,k,n_variants,observed_mean_same_label_topk,observed_mean_same_label_topk_ci_low,observed_mean_same_label_topk_ci_high,observed_mean_cross_gene_baseline,observed_mean_cross_gene_baseline_ci_low,observed_mean_cross_gene_baseline_ci_high,observed_lift_ratio_mean_rates,mean_per_variant_lift,mean_per_variant_lift_ci_low,mean_per_variant_lift_ci_high,global_label_permutation_null_mean,global_label_permutation_null_std,global_label_permutation_p_value,within_gene_label_permutation_null_mean,within_gene_label_permutation_null_std,within_gene_label_permutation_p_value
mutant_site,1,348,0.6522988505747126,0.6005747126436781,0.7011494252873564,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.333504851299787,1.3624662142495354,1.2557938692430732,1.472388025938503,0.5199379310344828,0.03181116320371044,9.999000099990002e-05,0.49651178160919546,0.033334614867111007,9.999000099990002e-05
mutant_site,3,348,0.6159003831417624,0.5814176245210727,0.6494252873563219,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.2590948889658782,1.2978054748764871,1.220247821206449,1.376543541346201,0.5199585249042146,0.019570032891216477,9.999000099990002e-05,0.48862614942528737,0.020528120550787062,9.999000099990002e-05
mutant_site,5,348,0.5873563218390805,0.5586206896551724,0.6166666666666666,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.2007418132408656,1.2359384038321217,1.1696681299558636,1.3034230899070487,0.5200408045977012,0.0154874443476553,9.999000099990002e-05,0.48586482758620697,0.01662922009036641,9.999000099990002e-05
wt_site,1,348,0.6580459770114943,0.6063218390804598,0.7068965517241379,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.3452537927209305,1.3662140263503701,1.2583910239153053,1.475816437318022,0.5200979885057472,0.03172175168931364,0.00019998000199980003,0.499623275862069,0.03222251286750869,9.999000099990002e-05
wt_site,3,348,0.5890804597701149,0.5526819923371648,0.6254789272030651,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.2042664956672084,1.233580821193751,1.1533834526424145,1.3139063958833048,0.5201102490421455,0.018797274094562413,0.0004999500049995,0.48537844827586196,0.019287528331240093,9.999000099990002e-05
wt_site,5,348,0.5655172413793104,0.5350574712643678,0.5959770114942529,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.1560958358405202,1.1881044948492043,1.1206733781586462,1.2570752821401927,0.520150632183908,0.015063237506840126,0.001999800019998,0.4838552873563219,0.015573662567561465,9.999000099990002e-05
delta_site,1,348,0.6063218390804598,0.5545977011494253,0.6551724137931034,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.239513319930639,1.2540503509884,1.1453889963412682,1.3630241564307781,0.5200844827586206,0.031731384474499635,0.0046995300469953,0.49999281609195406,0.03154294176575502,0.00029997000299970003
delta_site,3,348,0.5766283524904215,0.5450191570881225,0.6091954022988506,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.1788104559213979,1.188617991712407,1.1196698856871596,1.255538180809037,0.5199650383141762,0.018894634358285065,0.0016998300169983002,0.49087001915708806,0.01871322955831697,9.999000099990002e-05
delta_site,5,348,0.5649425287356322,0.5373563218390804,0.593103448275862,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.1549209416984059,1.1607162795905852,1.1021267161500077,1.2160961354371493,0.5199569540229885,0.01496071539122295,0.0016998300169983002,0.49071413793103447,0.015162159383479503,9.999000099990002e-05
wt_mut_site,1,348,0.6695402298850575,0.6206896551724138,0.7183908045977011,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.3687516755632174,1.3961381802611874,1.290303059780462,1.5048604276831632,0.5199402298850575,0.03219815768287821,9.999000099990002e-05,0.49932183908045974,0.033763585708721164,9.999000099990002e-05
wt_mut_site,3,348,0.6053639846743295,0.5689655172413793,0.6408045977011494,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.237555163027115,1.2686363958491989,1.189765809628695,1.349922333679059,0.5199550766283525,0.019352965180075423,0.00019998000199980003,0.4863493295019157,0.02048059707013845,9.999000099990002e-05
wt_mut_site,5,348,0.5839080459770115,0.5534482758620689,0.614367816091954,0.4891612129786459,0.48096693818367026,0.4971720138481026,1.1936924483881795,1.2263459039743934,1.1577115256105266,1.2957853676840645,0.5200333333333333,0.015391538916152112,0.00019998000199980003,0.48376316091954025,0.016365773248369388,9.999000099990002e-05
