n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,roc_auc,average_precision,subset,score_name
61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.42424242424242425,0.7857142857142857,0.602319568811323,all_scn1a,mutant_site_logo_model
61,49,12,0.6885245901639344,0.6802721088435374,0.619376026272578,0.45714285714285713,0.7857142857142856,0.5827711373251103,all_scn1a,wt_mut_site_logo_model
61,49,12,0.47540983606557374,0.48469387755102045,0.43123543123543123,0.2727272727272727,0.5340136054421769,0.2551366900166247,all_scn1a,biochem_only_logo_model
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,all_scn1a,same_cid_analog_majority
21,17,4,0.8095238095238095,0.8823529411764706,0.7666666666666666,0.6666666666666666,1.0,1.0,same_cid_analog_supported,mutant_site_logo_model
21,17,4,0.8095238095238095,0.8823529411764706,0.7666666666666666,0.6666666666666666,1.0,1.0,same_cid_analog_supported,wt_mut_site_logo_model
21,17,4,0.6190476190476191,0.6691176470588236,0.5714285714285714,0.42857142857142855,0.8235294117647058,0.5492424242424242,same_cid_analog_supported,biochem_only_logo_model
21,17,4,0.8571428571428571,0.9117647058823529,0.81524926686217,0.7272727272727273,0.9411764705882353,0.6666666666666666,same_cid_analog_supported,same_cid_analog_majority
40,32,8,0.625,0.53125,0.5157384987893463,0.2857142857142857,0.6640625,0.3685907477025898,no_same_cid_analog,mutant_site_logo_model
40,32,8,0.625,0.578125,0.5423340961098397,0.34782608695652173,0.6484375,0.3152673350041771,no_same_cid_analog,wt_mut_site_logo_model
40,32,8,0.4,0.390625,0.36,0.2,0.390625,0.22381450174390005,no_same_cid_analog,biochem_only_logo_model
2,2,0,0.5,0.5,0.3333333333333333,0.0,,,mixed_same_cid_analogs,mutant_site_logo_model
2,2,0,0.5,0.5,0.3333333333333333,0.0,,,mixed_same_cid_analogs,wt_mut_site_logo_model
2,2,0,0.5,0.5,0.3333333333333333,0.0,,,mixed_same_cid_analogs,biochem_only_logo_model
2,2,0,0.5,0.5,0.3333333333333333,0.0,,,mixed_same_cid_analogs,same_cid_analog_majority
