experiment,heldout_gene,model,n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,roc_auc,average_precision
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_mutant_site_k1,61,49,12,0.6885245901639344,0.7117346938775511,0.6314785373608903,0.4864864864864865,0.7117346938775512,0.3191803278688525
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_mutant_site_k3,61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.7780612244897959,0.40252608689513
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_mutant_site_k5,61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.766156462585034,0.4479208252355486
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_site_k1,61,49,12,0.7213114754098361,0.6692176870748299,0.6323998582063098,0.4516129032258064,0.6692176870748299,0.2968794938165084
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_site_k3,61,49,12,0.639344262295082,0.6811224489795918,0.5908536585365853,0.45,0.7363945578231292,0.356581032810541
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_site_k5,61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.7066326530612245,0.349480611103002
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_delta_site_k1,61,49,12,0.6229508196721312,0.5450680272108843,0.5223016683690841,0.303030303030303,0.5450680272108844,0.2139604475670049
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_delta_site_k3,61,49,12,0.6557377049180327,0.6598639455782312,0.5926868044515103,0.4324324324324324,0.6624149659863946,0.3087240686298935
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_delta_site_k5,61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.6768707482993198,0.3336451804581047
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_mut_site_k1,61,49,12,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.7423469387755102,0.3559985096870343
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_mut_site_k3,61,49,12,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.78656462585034,0.3999404511699593
heldout_scn1a_existing_esm_knn,SCN1A,esm_knn_wt_mut_site_k5,61,49,12,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.4651162790697674,0.7899659863945578,0.4276453728816819
