n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,tn,fp,fn,tp,roc_auc,average_precision,experiment,heldout_gene,model,n_train,n_test,train_lof,train_gof,error
16,7,9,0.4375,0.5,0.30434782608695654,0.0,0.0,0.0,7,0,9,0,0.5,0.5625,leave_one_gene_out,SCN10A,majority_class,332,16,203,129,
16,7,9,0.375,0.36507936507936506,0.36507936507936506,0.4444444444444444,0.4444444444444444,0.4444444444444444,2,5,5,4,0.3492063492063492,0.5535734327400994,leave_one_gene_out,SCN10A,logistic_regression,332,16,203,129,
16,7,9,0.375,0.36507936507936506,0.36507936507936506,0.4444444444444444,0.4444444444444444,0.4444444444444444,2,5,5,4,0.42857142857142855,0.5812748979415646,leave_one_gene_out,SCN10A,random_forest,332,16,203,129,
16,7,9,0.3125,0.30952380952380953,0.30980392156862746,0.35294117647058826,0.375,0.3333333333333333,2,5,6,3,0.3333333333333333,0.48061352228018894,leave_one_gene_out,SCN10A,hist_gradient_boosting,332,16,203,129,
16,7,9,0.5,0.5238095238095238,0.4920634920634921,0.42857142857142855,0.6,0.3333333333333333,5,2,6,3,0.5238095238095237,0.5750000000000001,leave_one_gene_out,SCN10A,scion_feature_knn_k1,332,16,203,129,
16,7,9,0.4375,0.45238095238095233,0.43529411764705883,0.4,0.5,0.3333333333333333,4,3,6,3,0.48412698412698413,0.5509259259259259,leave_one_gene_out,SCN10A,scion_feature_knn_k3,332,16,203,129,
16,7,9,0.375,0.3968253968253968,0.36507936507936506,0.2857142857142857,0.4,0.2222222222222222,4,3,7,2,0.4206349206349207,0.5430194805194806,leave_one_gene_out,SCN10A,scion_feature_knn_k5,332,16,203,129,
6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,,,leave_one_gene_out,SCN11A,majority_class,342,6,210,132,
6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,,,leave_one_gene_out,SCN11A,logistic_regression,342,6,210,132,
6,0,6,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.2857142857142857,1.0,0.16666666666666666,0,0,5,1,,,leave_one_gene_out,SCN11A,random_forest,342,6,210,132,
6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,,,leave_one_gene_out,SCN11A,hist_gradient_boosting,342,6,210,132,
6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,,,leave_one_gene_out,SCN11A,scion_feature_knn_k1,342,6,210,132,
6,0,6,0.16666666666666666,0.16666666666666666,0.14285714285714285,0.2857142857142857,1.0,0.16666666666666666,0,0,5,1,,,leave_one_gene_out,SCN11A,scion_feature_knn_k3,342,6,210,132,
6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0,,,leave_one_gene_out,SCN11A,scion_feature_knn_k5,342,6,210,132,
61,49,12,0.8032786885245902,0.5,0.44545454545454544,0.0,0.0,0.0,49,0,12,0,0.5,0.19672131147540983,leave_one_gene_out,SCN1A,majority_class,287,61,161,126,
61,49,12,0.5737704918032787,0.5773809523809523,0.5164634146341464,0.35,0.25,0.5833333333333334,28,21,5,7,0.6156462585034013,0.32429055164874476,leave_one_gene_out,SCN1A,logistic_regression,287,61,161,126,
61,49,12,0.6229508196721312,0.6709183673469388,0.5775368864799759,0.43902439024390244,0.3103448275862069,0.75,29,20,3,9,0.7329931972789115,0.4781288031608956,leave_one_gene_out,SCN1A,random_forest,287,61,161,126,
61,49,12,0.6229508196721312,0.6394557823129252,0.5665739882607352,0.41025641025641024,0.2962962962962963,0.6666666666666666,30,19,4,8,0.6751700680272109,0.44935809317823794,leave_one_gene_out,SCN1A,hist_gradient_boosting,287,61,161,126,
61,49,12,0.5901639344262295,0.6505102040816326,0.5510744774801295,0.4186046511627907,0.2903225806451613,0.75,27,22,3,9,0.6505102040816326,0.26692226335272345,leave_one_gene_out,SCN1A,scion_feature_knn_k1,287,61,161,126,
61,49,12,0.5573770491803278,0.5357142857142857,0.4911955514365153,0.3076923076923077,0.2222222222222222,0.5,28,21,6,6,0.6454081632653061,0.3255595167359873,leave_one_gene_out,SCN1A,scion_feature_knn_k3,287,61,161,126,
61,49,12,0.6229508196721312,0.6079931972789117,0.5538950715421304,0.3783783783783784,0.28,0.5833333333333334,31,18,5,7,0.6488095238095237,0.3493772679252216,leave_one_gene_out,SCN1A,scion_feature_knn_k5,287,61,161,126,
32,14,18,0.4375,0.5,0.30434782608695654,0.0,0.0,0.0,14,0,18,0,0.5,0.5625,leave_one_gene_out,SCN2A,majority_class,316,32,196,120,
32,14,18,0.65625,0.6547619047619048,0.6532019704433498,0.6857142857142857,0.7058823529411765,0.6666666666666666,9,5,6,12,0.6626984126984127,0.6815530542821333,leave_one_gene_out,SCN2A,logistic_regression,316,32,196,120,
32,14,18,0.5625,0.5634920634920635,0.5607843137254902,0.5882352941176471,0.625,0.5555555555555556,8,6,8,10,0.6746031746031746,0.7472203075902543,leave_one_gene_out,SCN2A,random_forest,316,32,196,120,
32,14,18,0.5625,0.5714285714285714,0.5625,0.5625,0.6428571428571429,0.5,9,5,9,9,0.7142857142857142,0.796190424499248,leave_one_gene_out,SCN2A,hist_gradient_boosting,316,32,196,120,
32,14,18,0.59375,0.5992063492063493,0.5933528836754643,0.6060606060606061,0.6666666666666666,0.5555555555555556,9,5,8,10,0.5992063492063492,0.6203703703703703,leave_one_gene_out,SCN2A,scion_feature_knn_k1,316,32,196,120,
32,14,18,0.53125,0.5515873015873016,0.5270935960591133,0.4827586206896552,0.6363636363636364,0.3888888888888889,10,4,11,7,0.5436507936507936,0.5805375180375181,leave_one_gene_out,SCN2A,scion_feature_knn_k3,316,32,196,120,
32,14,18,0.53125,0.5357142857142857,0.530791788856305,0.5454545454545454,0.6,0.5,8,6,9,9,0.5634920634920635,0.6016203703703703,leave_one_gene_out,SCN2A,scion_feature_knn_k5,316,32,196,120,
12,2,10,0.16666666666666666,0.5,0.14285714285714285,0.0,0.0,0.0,2,0,10,0,0.5,0.8333333333333334,leave_one_gene_out,SCN3A,majority_class,336,12,208,128,
12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,1,1,4,6,0.6499999999999999,0.932651515151515,leave_one_gene_out,SCN3A,logistic_regression,336,12,208,128,
12,2,10,0.6666666666666666,0.8,0.625,0.75,1.0,0.6,2,0,4,6,0.7,0.9451515151515152,leave_one_gene_out,SCN3A,random_forest,336,12,208,128,
12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,2,0,6,4,0.75,0.9497222222222222,leave_one_gene_out,SCN3A,hist_gradient_boosting,336,12,208,128,
