model,feature_set,input_dim,test_auc_mean,test_auc_std,test_accuracy_0_5_mean,test_accuracy_0_5_std,test_f1_0_5_mean,test_f1_0_5_std,test_f1_optimized_mean,test_f1_optimized_std,test_recall_0_5_mean,test_precision_0_5_mean
custom_nn,nn_wt_plus_mut_site,640,0.8693013133208256,0.014616012818652787,0.7935849056603774,0.015931948552893968,0.7481097070670633,0.016750547115706785,0.7547745739582463,0.019210304576535314,0.7931707317073171,0.7109342262358951
custom_nn,nn_site_plus_mean_full,2560,0.8688255159474672,0.019350878839674412,0.7864150943396228,0.022696474164068812,0.7343614629186342,0.027192354062285505,0.7304102193029992,0.024899929649223804,0.7639024390243903,0.7088978397096983
custom_nn,nn_wildtype_site_only,320,0.8653463414634146,0.007993560340917406,0.7871698113207548,0.00771049688366133,0.7436254177342072,0.012852692128940036,0.7447944735457923,0.015195759729137741,0.7990243902439025,0.6964262707319937
custom_nn,nn_mutant_site_only,320,0.8645793621013134,0.022135729994749345,0.7837735849056604,0.02017192039381749,0.7312615793548517,0.03270756699037138,0.7306405928285005,0.01645532171098361,0.7639024390243903,0.7025886947222756
custom_nn,nn_mut_plus_delta_site,640,0.8613163227016886,0.022309770107593187,0.7803773584905661,0.02060840365420852,0.7290012992879046,0.033021681798722724,0.7320424429787666,0.0374208701989697,0.7668292682926829,0.6958650253871065
custom_nn,nn_site_full_wt_mut_delta_abs,1280,0.8533403377110694,0.03181288313649151,0.7750943396226415,0.03830699845061579,0.7214020290312988,0.05420895364259276,0.7175374722503013,0.0538399233697926,0.7570731707317073,0.6902689359620695
logistic_regression,mutant_site_baseline,320,0.8421013133208255,0.009560776798189773,0.7633962264150943,0.01631830061165261,0.7112091099863947,0.019393565679067807,0.7175168005941187,0.008997533097730959,0.7531707317073171,0.6737479955879155
custom_nn,nn_mean_full_wt_mut_delta_abs,1280,0.8200315196998125,0.03175995426590455,0.7373584905660377,0.032854036014609726,0.6799928518491857,0.05230629690255132,0.6925566851724284,0.03313512757329169,0.7268292682926829,0.6405608447500238
custom_nn,nn_delta_site_only,320,0.7916037523452157,0.01831864451079258,0.7362264150943396,0.013500787788677962,0.6536830363553683,0.026206335212514618,0.6639028416925007,0.02867846665365652,0.6458536585365853,0.6646057839997601
custom_nn,nn_abs_delta_site_only,320,0.7609816135084427,0.02109153786038259,0.7169811320754716,0.02779418842010619,0.6326568663197004,0.03158927376822199,0.6441041042952493,0.01891197792615346,0.6292682926829268,0.6363531061792455
